,publishedAt,title,viewCount,수익(단위:$),광고개수,썸네일 얼굴,,,,,
1060,2020-03-26T09:48:35Z,[시황] 한국은행도 미국에 이어 필살기 씁니다. 양적완화 RP매입,1016,,,,,,,,
1037,2020-04-07T10:27:51Z,WTI 롤오버 기간입니다 | 국가부채 1700조 | 베이징 공장 가동률 90% | 증안펀드 9일,1012,,,,,,,,
976,2020-04-23T05:18:59Z,인버스매매 실패복기. 백만원 넘게 날렸습니다. 참회하겠습니다.,1007,,,,,,,,
1471,2019-12-05T02:24:21Z,"케이엠더블유, 애플도 참전하는 5G전쟁. KMW와 무슨 관계?",1003,,,,,,,,
468,2020-11-12T13:35:23Z,[인수합병] 대한항공이 아시아나항공 인수를 검토 중입니다. 세계 10위 초대형 국적항공사가 탄생하나?,996,,,,,,,,
2040,2019-05-14T10:52:29Z,"국일제지, 수급단타왕님 폭풍단타, 호가창과 차트 분석 #3편 돌파하는 호가창",991,,,,,,,,
1848,2019-08-12T12:44:12Z,거래원 못 보는 빅토리가 거래원 보는 팁을 알려드립니다. 은근 꿀팁,991,,,,,,,,
1687,2019-09-20T12:10:58Z,인공지능으로 주식가격예측하기 #2 데이터로드하기,988,,,,,,,,
1917,2019-07-17T13:02:03Z,솔브레인 | 후성을 넘어설 실수혜주?,986,,,,,,,,
1886,2019-08-01T11:39:59Z,"램테크놀러지도 시총만 다르지, 솔브레인과 판박이?! | 네이버증권 뉴스 나오는 날짜 정도는 이제 쉽게 맞출 것 같습니다. | 후성은 언제 기사 나오려나",982,,,,,,,,
1854,2019-08-10T06:38:34Z,헬릭스미스 | 처음 보는 종목이 시총이 높길래 이상하다 했는데 (구)바이로메드였습니다.,978,,,,,,,,
1070,2020-03-24T11:03:13Z,[무제한QE] 미연준이 매입하는 MBS(주택저당증권)은 무엇일까,974,,,,,,,,
1744,2019-09-12T02:51:08Z,"헬릭스미스, 최근 시세의 강함을 차트에서 발견할 수 있습니다",966,,,,,,,,
1506,2019-11-18T11:27:20Z,메지온 유데나필임상3상결과해석,966,,,,,,,,
1503,2019-11-21T14:24:43Z,상상인은 왜 하락했을까?,964,,,,,,,,
1615,2019-10-07T12:41:49Z,"주식공부 단타스윙 고수들 다 오세요(뉴스재료에 따른 호가창,차트 타점)",954,,,,,,,,
2078,2019-05-03T13:09:44Z,"대한광통신, 모르고 예시를 들었는데 같은 테마주?!!, 동성제약에 이은 정석매매(장대양봉 다음 거래량 줄은 음봉 종가베팅)",954,,,,,,,,
1836,2019-08-17T04:33:02Z,고려시멘트 | 투자경고 가격 계산하는 법 | 똑같은 투자경고종목차트(플레이위드와 UCI) | 엔케이물산,951,,,,,,,,
1984,2019-06-20T11:09:08Z,미래산업 | 공시는 주가위치와 함께 봐야한다. | 공시 다음 날 호가창 살펴보기 | 취득가 계산법,946,,,,,,,,
1677,2019-09-22T04:16:48Z,인공지능으로 주식가격예측하기 #11 훈련시키기,941,,,,,,,,
1150,2020-03-11T11:52:06Z,내일 공매도금지종목 어디에서 확인할 수 있나요,937,,,,,,,,
2041,2019-05-14T10:32:53Z,"국일제지, 수급단타왕님 폭풍단타, 호가창과 차트 분석 #2편",932,,,,,,,,
1504,2019-11-21T12:58:26Z,"STX중공업, 보호예수기간 만료되면 대량물량출회로 주가가 하락할까?",924,,,,,,,,
1100,2020-03-19T06:21:13Z,[실시간]서킷동시호가이후 시장상황 너무 심각합니다. 하루하루 최악을 갱신 중,921,,,,,,,,
1877,2019-08-03T13:54:14Z,[상한가] 국보 | 네이버증권에 뉴스가 없을 때 자료를 찾아나가는 과정 | 크리스국보 변경상장 | 가드레일,917,,,,,,,,
701,2020-08-04T11:55:18Z,[공시][네이버]라인과 소프트뱅크의 야후재팬의 경영통합은 문제 없다고 일본 공정위가 결론내렸습니다.,905,,,,,,,,
1708,2019-09-16T11:19:57Z,"헬릭스미스, 시초가부터 낌새가 보인다. 라운드피겨(0000)는 정말 중요한 가격입니다.",903,,,,,,,,
1933,2019-07-11T11:25:45Z,미스터블루 | 현실적으로 2차상승을 노린 매매를 해야 합니다. | 모바일게임출시(플레이위드 비교),903,,,,,,,,
